Question,Answer
What caused the formation of Chandubi Lake?,Chandubi Lake was formed by a powerful earthquake in 1897.
What can visitors see at Amchang Wildlife Sanctuary?,"Visitors to Amchang Wildlife Sanctuary can see flying foxes, slow lorises, leopards, exotic bird species like the Khaleej Pheasant and Green Imperial Pigeon, over 750 species of butterflies and 360 species of moths."
What is the primary deity worshipped at the Purva Tirupati Balaji Temple?,The primary deity worshipped at the Purva Tirupati Balaji Temple is Lord Venkateshwara.
Why is Kamakhya Temple considered a sacred site?,"Kamakhya Temple is considered sacred because it is one of India's most sacred sanctuaries devoted to Goddess Shakti and is said to be the place where Goddess Sati’s womb and genitals fell, marking it as one of the revered 51 Shakti Peeths."
"What is the Srimanta Sankaradeva Kalakshetra, and what is its purpose?","The Srimanta Sankaradeva Kalakshetra is a sanctuary of art and culture located in Guwahati, Assam, established to preserve, promote, and present the art and culture of the people of Assam."
What is worshipped at the Navagraha Temple?,Celestial bodies are worshipped at the Navagraha Temple.
What is the significance of the Janardana Temple?,"The Janardana Temple is significant because it blends Buddhist and Hindu cultures, with Buddha as the main deity, believed to be the reincarnation of Lord Vishnu."
"According to legend, what happened to Lord Kamadeva at the site where Umananda Temple stands?","According to legend, Lord Shiva reduced Lord Kamadeva to ashes for disrupting his meditation, giving rise to the Bhasmacala mountain upon which the Umananda Temple now stands."
"When was the Assam State Museum founded, and who played a key role in its establishment?","The Assam State Museum was founded in 1940, and Kanaklal Barua played a key role in its establishment."
How is the name Guwahati related to betel nuts?,"The city’s outer fringes are dotted with the slender, graceful betelnut palm trees from which Guwahati (literally “Betel Nut Market”) derives its name."
What year did the Army Graves Service buy graves from other cemeteries?,"But as time progressed, the deaths increased and the place for them to be buried decreased. Thus, the Army Graves Service bought graves from the other cemetery namely, Amari Bari Military Cemetery, Guwahati Civil Cemetery, Sylhet Military Cemetery and many more."
What is the importance of tea gardens?,This question cannot be answered based on the given document.
What is Brahma Sarovar?,"Brahma Sarovar is an ancient water pool, the largest ‘sarovar’, and one of the most sacred water bodies in Hinduism."
"According to legend, who initiated the creation of the universe from Kurukshetra, and how did the waters of Brahma Sarovar contribute?","According to legend, Brahma initiated the creation of the universe from Kurukshetra through a grand yajna. The waters of Brahma Sarovar in this sacred land were crucial to the genesis of existence itself."
What are the dimensions of Brahma Sarovar?,"Brahma Sarovar is 3600 feet long, 1500 feet broad, and 45 feet deep."
Who compared Brahma Sarovar to a mini sea?,Abul-Fazl of Emperor Akbar's court compared Brahma Sarovar to a mini sea.
Which historical text mentions Brahma Sarovar and recounts Duryodhana seeking refuge in its waters?,"The Mahabharata mentions Brahma Sarovar, recounting how Duryodhana sought refuge in its waters during the war's conclusion."
What is believed to be the effect of taking a dip in Brahma Sarovar during solar eclipses?,People believe that a dip in Brahma Sarovar's waters during solar eclipses equals the blessings of thousands of horse sacrifices.
What were the former names of Brahma Sarovar?,Brahma Sarovar was once called Ramahard and Samanta Panchaka.
Why is Brahma Sarovar considered sacred?,"Brahma Sarovar is considered sacred because legend says Brahma initiated the creation of the universe from Kurukshetra through a grand yajna, and the waters of Brahma Sarovar were crucial to the genesis of existence itself."
How deep is the pool at the Brahma-Sarovar?,Brahma Sarovar is 45 feet deep.
What is the capital of France?,This question cannot be answered based on the given document.
Where is the Naval Aviation Museum located?,"The Naval Air Museum is located in the verdant valleys of Dabolim, Goa."
What makes the Saptakoteshwar Temple significant?,"The Saptakoteshwar Temple is significant because it is dedicated to Lord Shiva and is one of the great Shiva temples in the Konkan area. It is believed to have been constructed over 1,500 years ago and holds immense religious significance for devotees."
What is Calangute Beach also known as?,Calangute Beach is known as the “Queen of Beaches.”
Who is the Shri Mahalsa Narayani Temple dedicated to?,"The Shri Mahalsa Narayani Temple is dedicated to Mahalsa, the consort of Lord Khandoba."
What architectural styles are blended in the Basilica of Bom Jesus?,"The Basilica of Bom Jesus blends Doric, Corinthian, and composite styles."
What is special about the design of the Church of Our Lady of the Rosary compared to other churches in Goa?,One of the distinctive traits of the Church of the Rosary is its unique octagonal shape. It is not a common sight and is touted as a rare architectural design when compared to the other churches in Goa.
What is the origin of the name 'Aguada' in Fort Aguada?,"The name ‘Aguada’ means watery in Portuguese, and it comes from a spring inside the fort that provided freshwater to ships."
Describe the significance of the Mhadei River to the Mhadei Wildlife Sanctuary.,"The Mhadei River meanders through the heart of the Mhadei Wildlife Sanctuary, nurturing a rich tapestry of flora and fauna."
Why was the Shree Shanta Durga Temple relocated from Cavelossim in Salcette?,The Shree Shanta Durga Temple was relocated because the Portuguese plundered and destroyed historical monuments and temples to construct churches and propagate the teachings of Christianity.
Where is the Mandovi River in relation to the Dr. Salim Ali Bird Sanctuary?,"The Dr. Salim Ali Bird Sanctuary is located on Chorão Island, at the end where the Mandovi River meets the sea in Goa."
What is the height of the Se Cathedral?,"The front of the Se Cathedral is super tall, standing at 115 feet high."
Why do tourists visit Cotigao Wildlife Sanctuary?,"Tourists visit Cotigao Wildlife Sanctuary to immerse themselves in the beauty of Goa's natural heritage, with its dense forests, meandering trails, and tranquil water bodies."
What is the relevance of victor Gomez to the Goa Chitra Museum?,"Victor Gomes is the founder of the Goa Chitra Museum, who collected and recycled old Goan household items, ancient relics, and agricultural tools to display them as works of art."
"What is the name of the wildlife sanctuary christened after a river, and where is it located?","The Mhadei Wildlife Sanctuary is christened after the Mhadei River, and it is located in the northeast of Goa, in Sattari."
Is Palolem Beach in North or South Goa?,Palolem Beach is located in South Goa.
Where is the Dzukou Valley located?,The Dzukou Valley is situated between the states of Nagaland and Manipur.
What is the elevation of the Dzukou Valley?,The elevation of the Dzukou Valley is 8045 feet.
When does the Dzukou Valley transform with wildflowers?,The Dzukou Valley transforms with wildflowers in the first weeks of July.
What is the most famous flower in the Dzukou Valley?,"The most famous flower in the Dzukou Valley is the ""Dzükou Lily""."
What kind of artistry is the Dzukou Valley a testament to?,The Dzukou Valley is a testament to nature's unparalleled artistry.
List three states that are located near the Dzukou Valley.,This question cannot be answered based on the given document.
What makes the landscape of Dzukou Valley unique?,The undulating hills and knolls create an awe-inspiring landscape with intricately woven folds and contours that are truly one-of-a-kind.
Does the valley only have the Dzukou Lily?,"No, the valley boasts a wide range of flowers throughout the seasons."
Where is Bangaram Island located?,"Bangaram Island is nestled within the Lakshadweep archipelago, roughly 400 km off the southwest coast of India."
How big is Bangaram Island?,Bangaram Island is a mere 2.3 sq km speck of land.
What makes Bangaram Island a good getaway?,Bangaram's isolation from the mainland has preserved its pristine natural beauty. No wonder it is hailed as one of the world's best getaways.
What kind of activities can one enjoy in Bangaram?,"One can enjoy unwinding on pristine beaches, diving into the turquoise embrace of the lagoon, and exploring the kaleidoscope of marine life."
Why is Bangaram considered an untouched ecosystem?,Bangaram is considered an untouched ecosystem due to minimal human interference.
How does Bangaram Island offer a chance to reconnect with nature?,"Tranquillity reigns supreme in Bangaram, giving you a chance to escape the crowds and reconnect with nature."
What is the shape of Bangaram Island?,Bangaram Island is teardrop-shaped.
Is Bangaram Island a popular tourist destination?,This question cannot be answered based on the given document.
How does the ocean breeze affect visitors to Bangaram?,The soft caress of the ocean breeze and the gentle rhythm of the waves lull you into a state of complete relaxation.
What can underwater enthusiasts expect to find in Bangaram?,Underwater enthusiasts can expect to find vibrant coral reefs teeming with an incredible array of marine life.
Where is Anjuna Beach located?,Anjuna Beach is located in North Goa.
What makes Anjuna Beach more than just a typical beach?,"Anjuna Beach is more than just golden sands and azure waters; it's a canvas where history, culture, and modernity blend seamlessly."
What kind of roots does Anjuna Beach have?,Anjuna Beach has hippie roots.
What kind of travelers would find Anjuna Beach appealing?,Travellers seeking both tranquility and adventure would find Anjuna Beach appealing.
Is Anjuna Beach located inland?,This question cannot be answered based on the given document.
Describe Anjuna Beach using three adjectives.,This question cannot be answered based on the given document.
Why should someone visit Anjuna Beach compared to other beaches?,This question cannot be answered based on the given document.
What is Agartala known for?,"Agartala is known for its contemporary vibrancy and being surrounded by lush green hills and verdant landscapes, making it a nature lover's paradise."
What can visitors find in the Sepahijala Wildlife Sanctuary?,"Visitors can find diverse flora and fauna, over 150 species of birds and primates, elephants, butterflies, and the Clouded Leopard National Park in the Sepahijala Wildlife Sanctuary."
When was Sukanta Academy established?,Sukanta Academy was established in 1997.
Who built the Ujjayanta Palace?,The Ujjayanta Palace was built by Maharaja Radha Kishore Manikya.
Why is the Tripura Sundari Temple considered a Shaktipeeth?,The Tripura Sundari Temple is considered a Shaktipeeth because it is believed to be the spot where the right foot of Goddess Sati fell during Lord Shiva's tandava.
What are the key differences between the two idols inside the Tripura Sundari Temple?,"The key differences are their sizes and the deity they represent. The larger idol, standing at 5 feet, represents Goddess Tripura Sundari, while the smaller idol, only 2 feet tall, represents Goddess Chandi (Chhoto-Ma)."
What inspired Rabindranath Tagore to name the Ujjayanta Palace and write the poem 'The Palace'?,The timeless charm of the Ujjayanta Palace inspired Rabindranath Tagore to name the palace and write the poem 'The Palace'.
How far is Sepahijala Wildlife Sanctuary from Agartala?,Sepahijala Wildlife Sanctuary is located 25 kilometers away from Agartala.
What is special about Clouded Leopard National Park?,The Clouded Leopard National Park offers the rare opportunity to see one of the world's most elusive big cats.
"What kind of temple is located on the shore of Kamalasagar Lake, and who built it?","The Kamalasagar Kali Temple, also known as Kasba Kali Bari, is located on the shore of Kamalasagar Lake, and it is believed to have been constructed in the 16th century by Maharaja Dhanya Manikya."
"What is the main attraction of Khumulwng Eco Park, and how big is it?","The main attractions of Khumulwng Eco Park are its beautiful gardens, pedestrian pathways, serene watercraft amenities, a charming zoo, and the Khumulwng Lake. It spans across 14.5 hectares."
"Besides tea production, what makes Durgabari Tea Estate a popular destination?","Besides tea production, its picturesque site and proximity to Agartala make Durgabari Tea Estate a popular destination."
Who designed Neermahal and in what year was it built?,Neermahal was designed by Martin & Burns and built in 1930.
How does Heritage Park contribute to preserving Tripura's identity?,"The Heritage Park blends the rich cultural tapestry of Tripura with the pristine beauty of nature, showcasing a fusion of tribal and non-tribal heritage."
Can I go swimming in Dumboor Lake?,This question cannot be answered based on the given document.
What is the Dwarkadhish Temple also known as?,The Dwarkadhish Temple is also known as Jagat Mandir (universal shrine) and Trilok Sundar (the most beautiful in all three worlds).
Who is believed to have established the Dwarkadhish Temple?,"The Dwarkadhish Temple is believed to have been established by Lord Krishna's great-grandson, Vajranabh."
Alongside which other sites is the Dwarkadhish Temple a part of the Char Dham pilgrimage?,"The Dwarkadhish Temple is a sacred cornerstone of the Char Dham pilgrimage, alongside Rameswaram, Badrinath, and Puri."
When did Adi Shankara reportedly visit the Dwarkadhish Temple?,Adi Shankara is believed to have visited the Dwarkadhish Temple in the 8th century.
Why is the Dwarkadhish Temple considered legendary?,"The Dwarkadhish Temple is considered legendary because its splendour transcends mortal comprehension, leaving souls in awe of its divine magnificence."
How does the document describe the beauty of the Dwarkadhish Temple?,"The document describes the beauty of the Dwarkadhish Temple as so great that superlatives fall short when gazing upon it, due to its beauty and divine energy."
What is the relationship between Vajranabh and Lord Krishna?,Vajranabh is Lord Krishna's great-grandson.
What kind of memorial exists within the Dwarkadhish Temple?,A memorial within the Dwarkadhish Temple stands as a tribute to Adi Shankara's visit.
What is the color of the Dwarkadhish Temple's flag?,This question cannot be answered based on the given document.
Where is Chidiya Tapu located?,"Chidiya Tapu is located on the southernmost tip of South Andaman Island, around 28 kilometres from Sri Vijaya Puram."
What is Chidiya Tapu also known as?,Chidiya Tapu is also known as 'Bird Island'.
How can one reach Chidiya Tapu from Sri Vijaya Puram?,From Sri Vijiya Puram you can hire a cab or opt for a self-driven trip to reach Chidiya Tapu.
"What is the shape of the beach at Chidiya Tapu, according to the document?",The beach at Chidiya Tapu is horseshoe-shaped.
What kind of experiences does Chidiya Tapu offer?,Chidiya Tapu offers a mosaic of experiences.
Why is Chidiya Tapu considered a haven for nature enthusiasts?,This question cannot be answered based on the given document.
How does the document describe the water at Chidiya Tapu?,The document describes the waters of the Andaman Sea as turquoise and lapping gently at the shore.
Was Chidiya Tapu important in the stone age?,This question cannot be answered based on the given document.
What is the distance between Port Blair and Chidiya Tapu?,This question cannot be answered based on the given document.
What is the significance of the road trip to Chidiya Tapu?,"The road trip you take to reach Chidiya Tapu isn't just a journey, it paves the way to an unspoiled haven of natural beauty."
What was Delhi known as during the era of the ancient Mahabharata?,Indraprastha
"Who ordered the Red Fort to be built, and why?",Mughal emperor Shah Jahan ordered the Red Fort to be built as his majestic new home after deciding to move his court from Agra to Delhi in 1639.
"Who is credited with the design brilliance of the Red Fort, and what other iconic structure did this architect craft?","Ustad Ahmad Lahori, who also crafted the iconic Taj Mahal, is credited with the design brilliance of the Red Fort."
Why did Firoz Shah Tughlaq establish Firozabad?,Firoz Shah Tughlaq established Firozabad in response to a severe water shortage in the old city. He strategically located it on the banks of the Yamuna River.
"What is the purpose of the Waste to Wonder Park, and who commissioned it?",The Waste to Wonder Park aims to manage waste effectively while beautifying public spaces. It was commissioned by the South Delhi Municipal Corporation (SDMC).
What does Dilli Haat offer to visitors?,"Dilli Haat offers a tantalising glimpse into the diversity and richness of Indian art, cuisine, and culture."
"Who founded Shankar's International Dolls Museum, and what is its significance?",Keshav Shankar Pillai founded Shankar's International Dolls Museum. It celebrates the diverse cultures and traditions of our planet through meticulously crafted dolls.
What is the significance of Raj Ghat?,"Raj Ghat stands as an elegant, solemn and austere tribute to Mahatma Gandhi - India's revered Father of the Nation."
"Why was India Gate built, and who designed it?","India Gate is a memorial to the 70,000 Indian soldiers who died during World War I and the Third Anglo-Afghan War. It was designed by Sir Edwin Lutyens."
"What does the Lotus Temple symbolize, and when did it open to the public?",The Lotus Temple symbolizes purity and beauty in many cultures. It opened to the public in December 1986.
What is the purpose of the National Police Memorial?,"The National Police Memorial is a tribute to the men and women in uniform who guard the country, combat terrorism and crime, maintain law and order, and rush to aid during disasters and emergencies."
What significant historical events and features are associated with Lodhi Garden?,"Lodhi Garden houses significant tombs from the 15th century, including those of Mohammed Shah and Sikandar Lodi. It was redesigned in 1936 and further transformed in 1968 with additions like a glass house and a rose garden."
To which deities is the ISKCON Temple dedicated?,The ISKCON Temple is a Vaishnav temple dedicated to Lord Krishna and Radharani.
What event does Buddha Jayanti Park commemorate?,Buddha Jayanti Park was established to commemorate the 2500th birth anniversary of Gautam Buddha.
"Who contributed to the construction of Purana Qila, and what was it initially called?","Humayun laid the foundations of Purana Qila, but Sher Shah Suri expanded it. It was initially called Dinpanah."
"Besides storing water, what other functions did baolis serve?","Besides storing water, baolis served as social centers for gathering and gossip and as staging posts for travellers in medieval times."
"What was Amrit Udyan formerly known as, and where is it located?","Amrit Udyan was formerly known as the Mughal Gardens, and it is located within the grounds of Rashtrapati Bhavan."
Who built Qutub Minar and what is its height?,"Qutub Minar was built by Qutb-ud-din Aibak, and its height is 72.5 meters (237.8 feet)."
"When was Chandni Chowk built, and who conceived it?",Chandni Chowk was built in the 17th century and was conceived by Mughal Emperor Shah Jahan.
What makes Humayun's Tomb architecturally significant?,Humayun's Tomb was the first garden-tomb on the Indian subcontinent and the first large-scale structure in Delhi to use red sandstone. It also served as an inspiration for the Taj Mahal.
"Who is the Akshardham Temple dedicated to, and what is the significance of its name?",The Akshardham Temple is dedicated to Bhagwan Swaminarayan. The name 'Akshardham' means 'eternal abode'.
What makes Mehrauli Archaeological Park unique?,"Mehrauli Archaeological Park is unique because it is the only area in Delhi that has seen 1,000 years of continuous occupation."
How did Gurudwara Bangla Sahib originate?,"Gurudwara Bangla Sahib originated from Jaisinghpura Palace, where Guru Har Krishan Ji resided and offered aid to the people suffering from smallpox and cholera. Later, a shrine was built on the spot where the palace once stood."
Why was Nehru Park set up?,Nehru Park was set up in 1969 in memory of Prime Minister Jawahar Lal Nehru.
"What is the National Crafts Museum & Hastkala Academy dedicated to, and who designed it?",The National Crafts Museum & Hastkala Academy is dedicated to showcasing India's rich and diverse crafts. It was designed by Charles Correa.
"What is Talkatora Garden known for, and what features does it offer?","Talkatora Garden is known for its Mughal-era grandeur and historical significance. It offers winding waterways, sparkling fountains, and lush green meadows."
"What is the main concept behind the Garden of Five Senses, and what does it offer?","The main concept behind the Garden of Five Senses is to invigorate the senses of touch, sight, smell, sound, and taste. It offers themed areas, tranquil pools, cascading waterfalls, and an array of sculptures."
What architectural style does Jama Masjid reflect?,Jama Masjid reflects Mughal splendour.
"What is the purpose of the National War Memorial, and what does it commemorate?","The National War Memorial pays homage to the brave souls who made the ultimate sacrifice during World War I and the Third Anglo-Afghan War, as well as in conflicts since India's independence."
"Who built Tughlaqabad Fort, and what was its intended purpose?",Ghiyasuddin Tughlaq built Tughlaqabad Fort to create a new capital city that would showcase his power and also serve as a strong fortress.
"What is the National Rose Garden also known as, and what does it symbolize?","The National Rose Garden is also known as the National Indo-Africa Friendship Rose Garden, and it symbolizes friendship and cooperation between India and Africa."
List five places to visit in Delhi.,This question cannot be answered based on the given document.
Is Delhi better than Mumbai?,This question cannot be answered based on the given document.
What are the different types of questions to be generated for the RAG model evaluation?,"The different types of questions to be generated are Fact-based, Comparative, Causal, Complex/multi-hop reasoning, and Edge cases and adversarial questions."
What should the answer be for questions that are unanswerable based on the document?,"For questions that are not answerable based on the document, the answer should be: ""This question cannot be answered based on the given document."""
How are comparative questions defined in the context of RAG model evaluation?,"Comparative questions are defined as questions comparing entities or concepts, for example, 'How is X different from Y?'"
What is the recommended number of questions to generate per document?,It is recommended to generate at least 5-10 questions per document.
What should be included in the output format?,"The output format should include the question, answer, question type, and expected context."
Why are edge case questions important for evaluating RAG models?,"Edge case questions help evaluate the robustness of RAG models by testing ambiguous, out-of-context, or illogical queries."
Differentiate between fact-based and complex questions in the dataset generation.,"Fact-based questions are simple and direct queries, while complex questions require synthesis or multiple steps of reasoning."
What is the purpose of the 'expected_context' field in the JSON output?,The 'expected_context' field contains the specific passage from the document that best supports the answer to the question.
What is the instruction for empty expected_context,Leave expected_context empty.
What is the valid json?,This question cannot be answered based on the given document.
What is Bhubaneswar known for?,"Bhubaneswar is known for its rich cultural heritage, architectural marvels, and spiritual significance."
Who built the Ananta Vasudeva Temple and when?,Queen Chandrika built the Ananta Vasudeva Temple during the 13th century.
What river does the Satkosia Gorge Wildlife Sanctuary span across?,The Satkosia Gorge Wildlife Sanctuary spans across the Mahanadi River.
What is Pathani Samanta known for?,Pathani Samanta is known for measuring the distance between the sun and the earth using simple tools like a bamboo pipe.
When was the Pathani Samanta Planetarium built?,The Pathani Samanta Planetarium was built in 1986.
What is Nandankanan primarily famous for?,"Nandankanan is primarily famous for its iconic white tigers, which were born to parents of regular tigers in 1980."
What is unique about Rajarani Temple compared to other Hindu temples?,"Rajarani Temple stands apart from traditional Hindu temples by being devoid of deity icons, classifying itself as a Saivite temple."
What is the significance of Dhauli Giri Hills?,The Dhauli Giri Hills are significant because it is where Ashoka renounced war after the battle of Kalinga.
Where is the Kuanria Dam located?,The Kuanria Dam is located near the outskirts of the Daspalla region in Nayagarh or Nayagada District of Odisha.
What makes Mangalajodi a hidden gem?,"Mangalajodi is a hidden gem due to its rich biodiversity and vibrant avian population, home to thousands of migratory birds."
How many rivers and rivulets feed Chilika Lake?,52 rivers and rivulets feed Chilika Lake.
What is Pipili known for?,Pipili is known for a centuries-old tradition of appliqué craft.
Why is Lingaraj Temple significant?,"Lingaraj Temple is significant because it is dedicated to both Lord Shiva and Lord Vishnu, symbolizing the coming together of Shaivism and Vaishnavism."
What award did the Odisha State Tribal Museum receive?,The Odisha State Tribal Museum received the UNESCO award as the finest among the nation's 21 tribal museums in 2010.
What is Pradhanpat Waterfall known for?,Pradhanpat Waterfall is known for its serene and picturesque getaway for nature lovers and adventure seekers. It is framed by dense forests and undulating hills.
What is the Mukteswara Temple also known as?,The Mukteswara Temple is a divine sanctuary dedicated to Lord Shiva (worshipped as Lord Mukteswara or Lord of Spiritual Freedom).
What did historian James Fergusson say about Lingaraj Temple?,"Lingaraj Temple was called “The finest example of Hindu temples in India"" by the historian James Fergusson."
Where can one find intricate Vaishnav motifs?,Intricate Vaishnav motifs can be found on the temple walls of the Ananta Vasudeva Temple.
What is the holy food offered to devotees at the Ananta Vasudeva Temple?,"The holy food offered to devotees at the Ananta Vasudeva Temple is the 'Mahaprasad', also known as Abhada."
What is the dome diameter of the Pathani Samanta Planetarium?,The dome of the Pathani Samanta Planetarium has a diameter of 23 metres.
Where is Cherai Beach located?,"Cherai Beach is located in the state of Kerala, India, along the Arabian Sea coast. It is situated in the Cherai village, which is part of the Vypin Island, one of the many islands forming the city of Kochi (Cochin)."
What activities are suitable for Cherai Beach?,"Cherai Beach is suitable for swimming, surfing, and sunbathing."
How long is Cherai Beach?,Cherai Beach is 15kms long.
What makes Cherai Beach a popular destination for travelers?,"Cherai Beach offers a perfect blend of natural beauty, recreational activities, and cultural experiences, making it a popular destination for travelers seeking a tranquil escape amidst Kerala's coastal paradise."
What is unique about the geography of Cherai Beach?,One can see the lagoon and sea separated only by a few hundreds of meters.
Is Cherai Beach a rocky beach or sandy beach?,This question cannot be answered based on the given document.
Why is the sky blue?,This question cannot be answered based on the given document.
What is the cultural significance of Cherai village?,This question cannot be answered based on the given document.
"What type of sand is found on Cherai Beach, and what color is it?",Cherai Beach is a long golden beach.
What is Dimapur known as?,Dimapur is called the Gateway to Nagaland.
What river is Dimapur nestled in?,Dimapur is nestled in the plains of the Dhansiri River.
Who founded Dimapur?,Dimapur was founded by the Kachari rulers.
What are the megaliths in Dimapur believed to be?,The megaliths are believed to be fertility symbols.
Where is the Ruzaphema Bazaar located?,"The Ruzaphema Bazaar is located about 5 kms from the city centre, on the road to Kohima."
What can be found at Diezephe Craft Village?,"At the Diezephe Craft Village, you can find craft showrooms, weaving workshops, and a captivating craft museum."
How many artisans live in Diezephe Village?,There is a 500-strong community of skilled artisans and weavers at Diezephe village.
What activities are available at the Liphanyan Governor's Camp?,"The Liphanyan Governor's Camp is ideal for picnics, camping, fishing, and rafting."
What river is the Liphanyan Governor's Camp located by?,The Liphanyan Governor's Camp is perched by the Doyang River.
When was the Dimapur Zoo established?,The Dimapur Zoo was established in 2008.
How large is the Dimapur Zoo?,The Dimapur Zoo spans an area of 176 hectares.
How many different species are in Dimapur Zoo?,There are 47 different species in Dimapur Zoo.
When did Lieutenant Grange discover the Kachari Rajbari Ruins?,Lieutenant Grange discovered the Kachari Rajbari Ruins in 1840.
What are the theories about the purpose of the pillars at the Kachari Rajbari Ruins?,"Some theories suggest the pillars held symbolic importance and hinted at ancient rituals, while others speculate they were reminiscent of chess pieces."
What century do the Kachari Rajbari Ruins date back to?,The Kachari Rajbari Ruins date back to the 10th century.
How does the Kachari Rajbari Ruins make you feel?,The Kachari Rajbari Ruins make you feel like you smell a mystery.
Is Dimapur zoo located in Assam?,This question cannot be answered based on the given document.
Why are the Kachari rulers not in Assam anymore?,The Kachari rulers were displaced from their territories in Assam in the 13th century by the invading Ahoms.
Compare and contrast the Dimapur Zoo with other Zoos in Nagaland.,Dimapur Zoo stands as the lone zoological park in the state.
What is the relationship between the decline of the Kachari Kingdom and the current state of the Rajbari Ruins?,"The ruins stand as silent witnesses to a bygone era, and the passage of time and tumultuous waves of history have led to their current state of overgrown grass and crumbling stones."
What is the capital of the USA?,This question cannot be answered based on the given document.
Why is Diezephe Craft Village important?,Diezephe Craft Village is important because it showcases the identity and culture of the people through handicrafts.
